movie,screenwriter,year
USS Indianapolis: Men of Courage,Richard Rionda del Castro,2016
Mister Roberts,Frank S. Nugent,1955
Frogs,Robert Hutchison,1972
Agent Cody Banks,Ashley Edward Miller,2003
Nails,Dennis Bartok,2017
Nighthawks,Paul Sylbert,1981
Blade Runner (The Final Cut),Darryl Ponicsan,1982
Suspect Zero,Billy Ray,2004
Next of Kin,Michael Jenning,1989
Hardcore,Paul Schrader,1979
Open Water 2: Adrift,David Mitchell,2007
Betrayed,Joe Eszterhas,1988
Imagine That,Ed Solomon,2009
Yogawoman,Saraswati Clere,2012
Mother Kusters Goes to Heaven,Rainer Werner Fassbinder,1975
A Perfect World,John Lee Hancock,1993
Watch on the Rhine,Lillian Hellman,1943
The Mean Season,Christopher Crowe,1985
Donovan's Reef,Frank S. Nugent,1963
Adventures of Sebastian Cole,Tod Williams,1998
Rock Star,John Stockwell,2001
The China Syndrome,Mike Gray,1979
Colombiana,Robert Mark Kamen,2011
Stalingrad,Sergei Snezhkin,2014
Courageous,Alex Kendrick,2011
Cover Girl,Virginia Van Upp,1944
Choke,Clark Gregg,2008
Simon Sez,Andrew Lowery,1999
"After Fall, Winter",Eric Schaeffer,2012
Treasure Island,Scott King,2000
Citizen Ruth,Alexander Payne,1996
Union Square,Nancy Savoca,2012
Una,David Harrower,2017
The Killers,Anthony Veiller,1946
The Matrix Revolutions,Lilly Wachowski,2003
Joshua,David Gilbert,2007
Eisenstein In Guanajuato,Peter Greenaway,2016
Anna Karenina,Tom Stoppard,2012
Knight of Cups,Terrence Malick,2016
Emelie,Rich Herbeck,2016
Three Night Stand,Pat Kiely,2015
Howling: Reborn,Joe Nimziki,2010
Jonah Hex,Brian Taylor,2010
13 Going on 30,Josh Goldsmith,2004
Dragon Wars,Hyung Rae Shim,2007
House In The Alley,Le-Van Kiet,2013
Beautiful,Jon Bernstein,2000
Joyride,Quinton Peeples,1996
The Substitute 2: School's Out,Roy Frumkes,1998
The Best of Everything,Edith R. Sommer,1959
"Lust, Caution",James Schamus,2007
Guy X,John Paul Chapple,2005
Terminal Velocity,David Twohy,1994
The Man with Rain in His Shoes (Twice Upon a Yesterday),Rafa Russo,1998
Jug Face,Chad Crawford Kinkle,2013
Punch-Drunk Love,Paul Thomas Anderson,2002
360,Peter Emmanuel Goldman,2012
Where Angels Fear to Tread,Charles Sturridge,1994
Flashback,David Loughery,1990
Committed,Lisa Krueger,2000
Nickelodeon,W.D. Richter,1976
K2,Scott Roberts,1992
Gardens of the Night,Damian Harris,2008
D2: The Mighty Ducks,Steven Brill,1994
The League of Gentlemen,Bryan Forbes,1959
The Glenn Miller Story,Valentine Davies,1953
Sphere,Paul Attanasio,1998
Sabrina,David Rayfiel,1995
Cookie,Nora Ephron,1989
Faust,Johann Wolfgang von Goethe,1926
The Valley,Saila Kariat,2018
Sukai Kurora (The Sky Crawlers),Chihiro Ito,2008
Belle's Magical World,Richard Cray,1998
Birdy,Jack Behr,1984
Blue Caprice,Alexandre Moors,2013
Bob & Carol & Ted & Alice,Paul Mazursky,1969
Dark Places,Gillian Flynn,2015
Masked and Anonymous,Rene Fontaine,2003
Free Ride,Shana Betz,2014
Soundtrack For A Revolution,William Guttentag,2009
Die Hard: With a Vengeance,Jonathan Hensleigh,1995
X-Men Origins - Wolverine,Skip Woods,2009
The Fruit Hunters,Yung Chang,2013
Behind Enemy Lines,Jim Thomas,2001
Germinal,Claude Berri,1994
Bad Company,Ross Thomas,1995
I Smile Back,Amy Koppelman,2015
All Good Things,Marc Smerling,2010
The Pirate Fairy,Jeffrey M. Howard,2014
The Two of Us (Le vieil homme et l'enfant),Claude Berri,1967
Loser,Amy Heckerling,2000
Magic in the Water,Rick Stevenson,1995
The Guns of Navarone,Carl Foreman,1961
Sleepaway Camp II: Unhappy Campers,Fritz Gordon,1988
East Palace West Palace (Dong gong xi gong) (Behind the Forbidden City),Zhang Jian,1998
Carrie Pilby,Kara Holden,2017
The Age of Innocence,Martin Scorsese,1993
Monkey Business,Charles Lederer,1952
New World,Hoon-jung Park,2013
See No Evil 2,Nathan Brookes,2014
Rio Lobo,Leigh Brackett,1971
The Apprenticeship of Duddy Kravitz,Mordecai Richler,1974
Jaws,Carl Gottlieb,1975
Final Destination,James Wong,2000
Fool's Gold,Daniel Zelman,2008
Chill Factor,Mike Cheda,1999
Santa's Apprentice (L'apprenti Pere Noel),David Freedman,2010
Accattone (The Procurer) (The Scrounger),Sergio Citti,1961
The Bachelor,Steve Cohen,1999
Bra Boys,Stuart Beattie,2008
Top Secret!,David Zucker,1984
Merlin,David Stevens,1998
The Babysitters,David Ross,2008
Against The Sun,Mark David Keegan,2015
Hannah Free,Claudia Allen,2009
Percy Jackson: Sea of Monsters,Larry Karaszewski,2013
The Other Son,Nathalie Saugeon,2012
Victor Frankenstein,Max Landis,2015
The Naked Spur,Harold Jack Bloom,1953
Last Passenger,Andrew Love,2014
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Anthony Hines,2006
A Four Letter Word,Jesse Archer,2008
The Blind Side,John Lee Hancock,2009
La tigre e la neve (The Tiger and the Snow),Roberto Benigni,2006
The Cat's Meow,Steven Peros,2001
Diary Of A Wimpy Kid: The Long Haul,Adam Sztykiel,2017
Lili,Paul Gallico,1953
Maggie,John Scott 3,2015
Zathura,John Kamps,2005
Malcolm X,Spike Lee,1992
Mia et le Migou (Mia and the Migoo),Jacques-Rmy Girerd,2011
Forgetting Sarah Marshall,Judd Apatow,2008
Spanglish,James L. Brooks,2004
The Ape,Curt Siodmak,1940
White God,Kata Wber,2015
Ironclad: Battle for Blood,Jonathan English,2014
Transformer,Michael Del Monte,2018
The Spy Who Came In from the Cold,Guy Trosper,1965
The Brothers Karamazov,Richard Brooks,1957
I'm Still Here,Casey Affleck,2010
War on Everyone,John Michael McDonagh,2017
Crimson Tide,Quentin Tarantino,1995
Doc Hollywood,Neil B. Shulman,1991
Fascination,John Jacobs,2005
Dark House,Charles Agron,2014
Edmond,David Mamet,2005
Santa Sangre,Claudio Argento,1989
Brahman Naman,Naman Ramachandran,2016
The Singing Forest,Jorge Ameer,2003
Curse of the Golden Flower,Wang Bin,2006
See You in the Morning,Alan J. Pakula,1989
Pirates of the Caribbean: On Stranger Tides,Ted Elliott,2011
The Life of Emile Zola,Norman Reilly Raine,1937
Love and a .45,C.M. Talkington,1994
Ivanhoe,Noel Langley,1952
The Attack,Ziad Doueiri,2013
This Revolution,Stephen Marshall,2006
A Screaming Man,Mahamat-Saleh Haroun,2011
Twentieth Century,Ben Hecht,1934
Dracula's Daughter,Garrett Elsden Fort,1936
The Hallow (The Woods),Felipe Marino,2015
Stand Clear Of The Closing Doors,Rose Lichter-Marck,2014
Joe,Gary Hawkins,2014
Been So Long,Che Walker,2018
Mrs. Brown,Jeremy Brock,1997
Gordy,Jay Sommers,1995
Arachnophobia,Don Jakoby,1990
The Incredible Jessica James,James C. Strouse,2017
Becks,Rebecca Drysdale,2018
Everest,William Nicholson,2015
Iron Sky,Johanna Sinisalo,2012
The Dark,Simon Maginn,2004
The Eyes of My Mother,Nicolas Pesce,2016
Nowhere to Hide,Myung-se Lee,2000
Solarbabies,Douglas Anthony Metrov,1986
The Campaign,Shane Harwell,2012
Black Water,David Nerlich,2008
Sausage Party,Kyle Hunter,2016
Trash,Felipe Braga,2015
Higher Learning,John Singleton,1994
Heavenly Creatures,Peter Jackson,1994
Lake Tahoe,Fernando Eimbcke,2008
The Details,Jacob Aaron Estes,2012
The Fan,John Hartwell,1981
House of Sand and Fog,Vadim Perelman,2003
Any Given Sunday,Oliver Stone,1999
Unfriended: Dark Web,Stephen Susco,2018
"Rally 'Round the Flag, Boys!",Claude Binyon,1958
Blame It on Rio,Larry Gelbart,1984
Lazer Team,Chris Demarais,2016
The Dead,Tony Huston,1987
The Texas Chainsaw Massacre,Kim Henkel,1974
Paycheck,Philip K. Dick,2003
Resident Evil: Apocalypse,Paul W.S. Anderson,2004
Doc Holliday,Pete Hamill,1971
The Horseman,Steven Kastrissios,2008
"Spring, Summer, Fall, Winter...and Spring",Kim Ki-duk,2003
Big Bad Wolves,Navot Papushado,2014
The Company,Barbara Turner,2003
The Little Mermaid,Ron Clements,1989
Cabin Fever 3: Patient Zero,Jake Wade Wall,2014
Son of Flubber,Don DaGradi,1963
How to Lose Friends & Alienate People,Toby Young,2008
Divine Secrets of the Ya-Ya Sisterhood,Callie Khouri,2002
24 Hour Party People,Frank Cottrell Boyce,2002
The Mighty,Charles Leavitt,1998
Awful Nice,Todd Sklar,2014
Hounds of Love,Ben Young,2017
Napoleon Dynamite,Jerusha Hess,2004
Things Never Said,Charles Murray,2013
Red Knot,Scott Cohen,2014
Pat Garrett & Billy the Kid,Rudy Wurlitzer,1973
Apt Pupil,Brandon Boyce,1998
Oligarkh (Tycoon) (Tycoon: A New Russian),Alexandre Borodianski,2003
Prince of Persia: The Sands of Time,Boaz Yakin,2010
The Scent of Green Papaya (Mi du du xanh - L'odeur de la papaye verte),Patricia Petit,1993
Charlie Chan and the Curse of the Dragon Queen,David Axlerod,1981
Nails,Tom Abrams,2017
Suspicion,Samson Raphaelson,1941
The Anthropologist,Daniel A. Miller,2016
Iris,Charles Wood,2001
Django,Alexis Salatko,2018
Walking With The Enemy,Kenny Golde,2014
Come Undone,Sbastien Lifshitz,2000
Gandhi,Robert Bolt,1982
Norbit,Charlie Murphy,2007
Free Men,Alain-Michel Blanc,2012
The Yes Men Fix the World,Andy Bichlbaum,2009
Van Wilder: The Rise of Taj (Van Wilder 2),Brent Goldberg,2006
The Ring,Ehren Kruger,2002
Mirror Mirror,Melisa Wallack,2012
Max Keeble's Big Move,Mark Blackwell,2001
Donkey Punch,David Bloom,2008
Speed,Joss Whedon,1994
Sheena,David Newman,1984
The Errand Boy,Jerry Lewis,1961
The 'Burbs,Dana Olsen,1989
Wicked Little Things,Ben Nedivi,2006
The Education of Little Tree,Richard Friedenberg,1997
The Omen,David Seltzer,2006
Maryam,Ramin Serry,2002
Gravity,Jons Cuarn,2013
Contraband,Aaron Guzikowski,2012
Sleepers,Barry Levinson,1996
Entrapment,William Broyles,1999
Manglehorn,Paul Logan,2015
Doctor Dolittle,Leslie Bricusse,1967
Another WolfCop,Lowell Dean,2017
Odd Thomas,Stephen Sommers,2014
Fail-Safe,Walter Bernstein,1964
Aladdin and the King of Thieves,Mark McCorkle,1995
Red River,Charles Schnee,1948
The Star Chamber,Peter Hyams,1983
Jules and Jim,Franois Truffaut,1962
Point of No Return (The Assassin),Alexandra Seros,1993
The Island (Ostrov),Dmitri Sobolev,2007
Dante's Peak,Leslie Bohem,1997
What Happened Was...,Tom Noonan,1994
The Golden Child,Dennis Feldman,1986
Der Amerikanische Freund (The American Friend),Wim Wenders,1977
L.A. Slasher,Owen Martin,2015
About Time,Richard Curtis,2013
When the Dragon Swallowed the Sun,Dirk Simon,2012
Detroit 9000,Orville H. Hampton,1998
Sex and Lucia,Julio Medem,2002
The Stolen,Niall Johnson,2017
Sharkwater,Rob Stewart (IX),2007
Phantom Thread,Paul Thomas Anderson,2018
Before the Rains,Cathy Rabin,2008
Madeline,Malia Scotch Marmo,1998
House of the Dead,Dave Parker,2003
Burnt Offerings,Dan Curtis,1976
Romantics Anonymous,Philippe Blasband,2011
Before Sunrise,Richard Linklater,1995
Abbott and Costello Meet the Invisible Man,John Grant,1951
The Puppet Masters,Terry Rossio,1994
Calamity Jane,James O'Hanlon,1953
InAPPropriate Comedy,Ari Shaffir,2013
On the Road,Jose Rivera,2012
Escape From Planet Earth,Matthew Ward,2013
Munyurangabo,Lee Isaac Chung,2009
"I, Tonya",Steven Rogers,2018
Scott Pilgrim vs. the World,Edgar Wright,2010
Friday the 13th Part VII - The New Blood,Manuel Fidello,1988
The Unknown Soldier,Michael Verhoeven,2007
Scarface,W.R. Burnett,1932
Blindness,Don McKellar,2008
Shotgun Stories,Jeff Nichols,2007
Cheap Thrills,Trent Haaga,2014
Eye of the Beholder,Marc Behm,2000
Blind Fury,Charles Robert Carner,1990
Body of Lies,William Monahan,2008
The Private Lives of Elizabeth and Essex,Norman Reilly Raine,1939
The Lullaby,Tarryn-Tanille Prinsloo,2018
Shopping for Fangs,Dan Alvarado,1998
The Mask,Mike Werb,1994
Scott Pilgrim vs. the World,Michael Bacall,2010
Road Hard,Adam Carolla,2015
Still Alice,Richard Glatzer,2015
Dead Man Running,Alex De Rakoff,2009
Johnny Mnemonic,William Ford Gibson,1995
The Seeker: The Dark Is Rising,John Hodge,2007
Four Rooms,Quentin Tarantino,1996
Ha-shoter (Policeman),Nadav Lapid,2014
The Dresser,Ronald Harwood,2015
La MISSION,Peter Bratt,2010
The Manhattan Project,Thomas Baum,1986
Good Morning (Ohay),Yasujiro Ozu,1959
Less Than Zero,Michael Cristofer,1987
Confetti,Debbie Isitt,2006
The Howling,John Sayles,1981
Town & Country,Michael Laughlin,2000
Patton,Francis Ford Coppola,1970
Page One: Inside the New York Times,Andrew Rossi,2011
Prodigy,Alex Haughey,2018
The Uninvited,Carlo Bernard,2009
The Devil's Own,Kevin Jarre,1997
Lunch,Donna Kanter,2012
A Case of You,Christian Long,2013
"Fear, Inc.",Luke Barnett,2016
England Is Mine,William Thacker,2017
Who's Your Caddy?,Bradley Allenstein,2007
Dangerous Minds,Ronald Bass,1995
Roberta,Sam Mintz,1935
Aliyah,Galle Mac,2013
Raising Victor Vargas,Eva Vives,2003
Legacy: Black Ops,Thomas Ikimi,2010
Running Scared,Vicki Polon,1986
Absurdistan,Veit Helmer,2008
Pete's Dragon,Toby Halbrooks,2016
Micmacs (Micmacs  tire-larigot),Jean-Pierre Jeunet,2010
Sweetwater,Kim Hughes,2013
No Turning Back,Jesus Nebot,2001
Money Talks,Alec Sokolow,1997
Down (The Shaft),Dick Maas,2001
The Last Samurai,Edward Zwick,2003
Free Zone,Amos Gitai,2006
Protocol,Charles Shyer,1984
Blind,John Buffalo Mailer,2017
The Raid 2,Gareth Evans,2014
Bopha!,John Wierick,1993
Sherlock Jr.,Clyde Bruckman,1924
She's Gotta Have It,Spike Lee,1986
The Gang's All Here,Ed Kelso,1943
The Van,Roddy Doyle,1997
Animals United (Konferenz der Tiere),Reinhard Klooss,2010
Operation Dumbo Drop,Gene Quintano,1995
Joy,David O. Russell,2015
Stay,David Benioff,2005
The Great Escape,W.R. Burnett,1963
Gargoyles,Stephen Karpf,1972
The Bounty Hunter,Sarah Thorp,2010
Love the Hard Way,Peter Sehr,2003
Paul Blart: Mall Cop,Kevin James,2009
Ab-normal Beauty,Oxide Pang Chun,2004
Joshy,Jeff Baena,2016
Walk the Line,Gill Dennis,2005
Year One,Harold Ramis,2009
Burnt Offerings,William F. Nolan,1976
Thief Of Hearts,Douglas Day Stewart,1984
MI-5 (Spooks: The Greater Good),Jonathan Brackley,2015
Assault on Precinct 13,James DeMonaco,2005
Ismael's Ghosts (Les fantmes d'Ismal),Arnaud Desplechin,2018
The Adventures of Rocky & Bullwinkle,Kenneth Lonergan,2000
Hudson Hawk,Bruce Willis,1991
Tucker and Dale vs. Evil,Eli Craig,2011
White Lightnin',Eddy Moretti,2009
The Wash,D.J. Pooh,2001
Captain America: Civil War,Christopher Markus,2016
The Country Bears,Mark Perez,2002
Almost Peaceful,Rosalinde Deville,2004
Spider Baby,Jack Hill,1968
The World Is Not Enough,Bruce Feirstein,1999
Employee of the Month,Don Calame,2006
The Swarm,Stirling Silliphant,1978
The Disappearance of Alice Creed,J Blakeson,2010
Bopha!,Brian Bird,1993
Rosemary's Baby,Roman Polanski,1968
The Hindenburg,Nelson Gidding,1975
"I, Robot",Jeff Vintar,2004
Caterpillar,Deru Deguchi,2011
No Strings Attached,Elizabeth Meriwether,2011
Resident Evil: Retribution,Paul W.S. Anderson,2012
Footlight Parade,James Seymour,1933
Manic,Blayne Weaver,2003
A Taste of Honey,Tony Richardson,1961
La demoiselle d'honneur (The Bridesmaid),Pierre Leccia,2004
The Legend of 1900 (La leggenda del pianista sull'oceano),Giuseppe Tornatore,1999
One False Move,Billy Bob Thornton,1992
Young and Innocent,Charles Bennett,1938
I Saw the Devil,Hoon-jung Park,2011
Foolish,Master P,1999
Bhoot (Ghost House),Sameer Sharma,2003
A Nightmare on Elm Street 3: Dream Warriors,Bruce Wagner,1987
Wish I Was Here,Adam Braff,2014
Gospel Hill,Jeff Stacy,2008
The Expendables 3,Katrin Benedikt,2014
Just One of the Guys,Dennis Feldman,1985
Turning Green,Michael Aimette,2005
Attraction,Russell DeGrazier,2001
Great Expectations,Mitch Glazer,1998
The Wolf Man,Curt Siodmak,1941
The American Side,Jenna Ricker,2016
Virus,Chuck Pfarrer,1999
Big Bad Mama,Frances Doel,1974
De rouille et d'os (Rust and Bone),Jacques Audiard,2012
Class,Jim Kouf,1983
Uncommon Valor,Ted Kotcheff,1983
The Big Fix,Johnny O'Hara,2011
The Last Time,Michael Caleo,2007
"Politist, adj. (Police, Adjective)",Corneliu Porumboiu,2009
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",Werner Herzog,1972
Scenes from a Mall,Paul Mazursky,1991
If Lucy Fell,Eric Schaeffer,1996
National Lampoon's Animal House,Harold Ramis,1978
Thoda Pyaar Thoda Magic,Rohena Gera,2008
Jaws 2,Michael Butler,1978
Kitty Foyle,Donald Ogden Stewart,1940
The Deer Hunter,Michael Cimino,1978
House Arrest,Michael Hitchcock,1996
Double Impact,Jean-Claude Van Damme,1991
On The Job,Erik Matti,2013
Treasure Island,Lawrence Edward Watkin,1950
Ripple Effect,Philippe Caland,2008
Auntie Mame,Betty Comden,1958
Batman Vs. Robin,J.M. DeMatteis,2015
The Amazing Spider-Man 2,Alex Kurtzman,2014
Yesterday Was a Lie,James Kerwin,2009
Lemora - A Child's Tale of the Supernatural,Richard Blackburn,2001
Hammett,Wim Wenders,1982
The Rainmaker,Bob Yeoman,1997
Clay Pigeons,Matt Healy,1998
Husbands,John Cassavetes,1970
Quarantine 2: Terminal,John Pogue,2011
The Living Daylights,Michael G. Wilson,1987
Antibirth,Danny Perez,2016
Shelter,Jonah Markowitz,2007
Miss Minoes,Vincent Bal,2011
Rollover,David Shaber,1981
Tombs Of The Blind Dead (Noche del terror ciego),Jesus Navarro Carrion,1972
Shaft's Big Score!,Ernest Tidyman,1972
Soul Kitchen,Fatih Akin,2010
The Tall Man,Pascal Laugier,2012
The Aristocats,Vance Gerry,1970
The Water Horse: Legend of the Deep,Simon Beaufoy,2007
Memento,Christopher Nolan,2000
The Little Vampire 3D,Larry Wilson,2017
Life With Father,Donald Ogden Stewart,1947
Somewhere in the Night,Joseph L. Mankiewicz,1946
Bananas,Woody Allen,1971
Orwell Rolls in His Grave,Robert Kane Pappas,2003
Tamara Drewe,Moira Buffini,2010
Chocolat,Robert Nelson Jacobs,2000
Timecode,Mike Figgis,2000
Mr. Nobody,Jaco Van Dormael,2013
The Hospital,Paddy Chayefsky,1971
Nate and Hayes,David Odell,1983
The Sadist,James Landis,1963
The Invitation,Phil Hay,2016
Punisher: War Zone,Matt Holloway,2008
Novocaine,David Atkins,2001
The Muppets,Jason Segel,2011
The Savages,Tamara Jenkins,2007
The Spiderwick Chronicles,John Sayles,2008
Doogal,Paul Bassett Davies,2006
The Young Americans,David Hilton,1993
Prince of Central Park,John Leekley,2000
U.S. Marshals,John Pogue,1997
Rush Hour 2,Jeff Nathanson,2001
The French Lieutenant's Woman,Harold Pinter,1981
Batman: The Movie,Lorenzo Semple Jr.,1966
Early Summer,Yasujiro Ozu,1951
The Bourne Identity,Tony Gilroy,2002
Balls of Fury,Robert Ben Garant,2007
T2 Trainspotting,John Hodge,2017
Tatsumi,Eric Khoo,2012
New In Town,C. Jay Cox,2009
Living Out Loud,Lynzee Klingman,1998
Maniac,Alexandre Aja,2013
A Few Good Men,Aaron Sorkin,1992
Bean,Richard Curtis,1997
Kabhi Khushi Kabhie Gham,Sheena Parikh,2001
La La Land,Damien Chazelle,2016
Fados,Carlos Saura,2009
Leprechaun 3,David Dubos,1995
Black Moon Rising,Steve De Jarnatt,1986
Envy,Steve Adams,2004
The Dark Knight Rises,Christopher Nolan,2012
The Ballad of Little Jo,Maggie Greenwald,1993
Keyhole,Guy Maddin,2012
The Drowning Pool,Tracy Keenan Wynn,1975
Tarzan,Reinhard Klooss,2014
Balls of Fury,Thomas Lennon,2007
The Burning Plain,Guillermo Arriaga,2009
Velvet Goldmine,Todd Haynes,1998
Cinderella Liberty,Darryl Ponicsan,1973
Night Watch,Laeta Kalogridis,2006
Bleeding Steel,Siwei Cui,2018
The Disappointments Room,D.J. Caruso,2016
Winnie the Pooh,Don Dougherty,2011
The People That Time Forgot,Patrick Tilley,1977
The Music of Silence,Anna Pavignano,2018
Mondays in the Sun (Los Lunes al sol),Fernando Len de Aranoa,2003
Gore Vidal: The United States Of Amnesia,Nicholas Wrathall,2014
Shakespeare Behind Bars,Hank Rogerson,2005
United Passions,Jean-Paul Delfino,2015
Sgt. Bilko,Andy Breckman,1996
A Summer's Tale,Eric Rohmer,2014
Elektra,Stuart Zicherman,2005
The Homesman,Tommy Lee Jones,2014
Fireproof,Alex Kendrick,2008
The Hanging Garden,Thom Fitzgerald,1998
The Hammer,Kevin Hench,2007
Run & Jump,Stephen Gregory Foster,2014
The Parking Lot Movie,Meghan Eckman,2010
The Boy Friend,Ken Russell,1971
The Hitman,Robert Geoffrion,1991
Deck the Halls,Chris Ord,2006
Barbershop 2: Back in Business,Kevin Rodney Sullivan,2004
The Chamber,Ben Parker,2018
A Rage in Harlem,Robert Crawford,1991
Shakespeare Behind Bars,Jilann Spitzmiller,2005
"Life, Above All",Dennis Foon,2011
Kaboom,Gregg Araki,2011
The Year Dolly Parton Was My Mom,Tara Johns,2011
Stealing Beauty,Bernardo Bertolucci,1996
Addicted,Ernie Barbarash,2014
The League of Extraordinary Gentlemen,James Dale Robinson,2003
The Guillotines,Joyce Chan,2013
Message in a Bottle,Gerald DiPego,1999
Posse,Sy Richardson,1993
The Narrow Margin,Martin G. Goldsmith,1952
The World's End,Edgar Wright,2013
Tio Papi,Brian Herskowitz,2013
Starbuck,Martin Petit,2013
Rough Night,Lucia Aniello,2017
Cold Turkey,Will Slocombe,2013
Storage 24,Noel Clarke,2013
Feral,Mark Young,2018
Klovn: The Movie (Klown),Frank Hvam,2012
The Enemy Below,Wendell Mayes,1957
God's Not Dead: A Light in Darkness,Michael Mason,2018
The Chumscrubber,Zac Stanford,2005
The Living Dead at Manchester Morgue,Jorge Grau,1974
Farewell to the King,John Milius,1989
Horror of Dracula,Jimmy Sangster,1958
Fly Me to the Moon,Domonic Paris,2008
A Midsummer Night's Sex Comedy,Woody Allen,1982
Without Limits,Kenny Moore,1998
What Lies Beneath,Clark Gregg,2000
The Girl from the Naked Eye,David Ren,2012
The Other Dream Team,Marius A. Markevicius,2012
Deadpool 2,Paul Wernick,2018
Susanne Bartsch: On Top,Alexander Smith,2018
Unforgettable,Bill Geddie,1996
