movie,screenwriter,year
Comic-Con: Episode IV - A Fan's Hope,Jeremy Chilnick,2012
The Children's Hour,Lillian Hellman,1961
X-Men Origins - Wolverine,David Benioff,2009
Pokemon 3: The Movie,Norman J. Grossfeld,2001
Inside Llewyn Davis,Ethan Coen,2013
Enemies of the People,Thet Sambath,2010
Junebug,Angus MacLachlan,2005
31,Rob Zombie,2016
Winchester '73,Borden Chase,1950
Crooked Arrows,Brad Riddell,2012
End of the Spear,Bart Gavigan,2006
Boys Don't Cry,Andy Bienen,1999
Dolphin Tale,Karen Janszen,2011
Strictly Ballroom,Craig Pearce,1992
Invaders from Mars,Dan O'Bannon,1986
Donovan's Echo,Jim Cliffe,2011
Creative Control,Benjamin Dickinson,2016
Hard Core Logo,Noel S. Baker,1998
Me and Orson Welles,Holly Gent Palmo,2009
The Perfect Match,Dana Verde,2016
I corpi presentano tracce di violenza carnale (Torso) (Bodies Bear Traces of Carnal Violence),Ernesto Gastaldi,1973
Mystery Road,Ivan Sen,2013
Dirty Harry,Harry Julian Fink,1971
They Call Me Mister Tibbs,Alan Trustman,1970
I Am David,Paul Feig,2004
Animals,David Dastmalchian,2015
Real Women Have Curves,Josefina Lopez,2002
The Hunter,Alice Addison,2012
C.H.U.D. (Chud),Parnell Hall,1984
Downhill Racer,James Salter,1969
The Nine Lives of Fritz the Cat,Eric Monte,1974
Pumpkin,Adam Larson Broder,2002
Flirting With Disaster,David O. Russell,1996
Silence,Martin Scorsese,2017
Escaflowne: The Movie,Ryota Yamaguchi,2000
Secretariat,Mike Rich,2010
Tramps,Adam Leon,2016
The Kennel Murder Case,Robert N. Lee,1933
The Killing,Jim Thompson,1956
Our Kind of Traitor,Hossein Amini,2016
The Invisible War,Kirby Dick,2012
Pitch Perfect,Jeff Roda,2012
Red Corner,Robert King,1997
Into The Arms Of Strangers: Stories Of The Kindertransport,Mark Jonathan Harris,2000
Shiloh 2: Shiloh Season,Dale Rosenbloom,1999
The Land of Steady Habits,Nicole Holofcener,2018
Phantasm: Lord of the Dead,Don Coscarelli,1994
Undiscovered,John William Galt,2005
Dying of the Light,Paul Schrader,2014
Desperately Seeking Susan,Leora Barish,1985
The Reflecting Pool,Jarek Kupsc,2008
Storm (Sturm),Bernd Lange,2009
The Flower of Evil,Louise L. Lambrichs,2003
Dracula,W.D. Richter,1979
The Tiger's Tail,John Boorman,2006
The Forbidden Room,Guy Maddin,2015
Darling Companion,Lawrence Kasdan,2012
Amazing Grace,Steven Knight,2007
Bagdad Cafe,Percy Adlon,1988
White Nights,Eric Hughes,1985
Spectre,John Logan,2015
Visitors,Godfrey Reggio,2014
Addams Family Values,Paul Rudnick,1993
Outrage,Kirby Dick,2009
The Hunter's Prayer,Paul Leyden,2017
Miss Conception,Camilla Leslie,2008
Orlando,Sally Potter,1993
Le Chteau de Ma Mre (My Mother's Castle),Yves Robert,1990
Grey Gardens,Patricia Rozema,2009
Nutty Professor II: The Klumps,Paul Weitz,2000
Mr. Nice Guy (Yat goh hiu yan),Fibe Ma,1997
The Trouble with the Truth,Jim Hemphill,2012
Big Muddy,Jefferson Moneo,2015
Call Me Kuchu,Katherine Fairfax Wright,2013
Godzilla vs. King Ghidorah (Gojira tai Kingu Gidor),Kazuki Omori,1991
Shoot the Moon,Alan Parker,1982
Leprechaun 2,Al Septien,1994
Booty Call,Takashi Bufford,1997
Grabbers,Kevin Lehane,2013
A Christmas Story,Bob Clark,1983
Leatherface,Seth M. Sherwood,2017
The Kill Hole,Mischa Webley,2012
Run the Tide,Rajiv Shah (II),2016
The Swimmer,Eleanor Perry,1968
100 Bloody Acres,Cameron Cairnes,2013
Cloud Atlas,Tom Tykwer,2012
Sabrina,Billy Wilder,1954
The Man From Earth: Holocene,Richard Schenkman,2017
The Five Heartbeats,Robert Townsend,1991
Hunter Gatherer,Joshua Locy,2016
The Sea of Grass,Marguerite Roberts,1947
Gooby,Wilson Coneybeare,2009
Moulin Rouge,John Huston,1952
Hop,Bryan Lynch,2011
My Big Night (Mi Gran Noche),lex de la Iglesia,2016
The Bank Job,Ian La Frenais,2008
Blast From the Past,Bill Kelly,1999
Caf de Flore,Jean-Marc Valle,2012
Life's a Breeze,Lance Daly,2014
Cold Souls,Sophie Barthes,2009
Garbo Talks,Larry Grusin,1984
A Streetcar Named Desire,Oscar Saul,1951
Child's Pose,Calin Peter Netzer,2014
Sukiyaki Western Django,Masaya Nakamura,2008
